ID;Code;Digit;Special;Animal;Color;Serie;Used_Upgrade;Deliverable;Shop;Extra
118012;CtGvf;5;only_alpha_mixed;llama;black;CS2;False;True;Presale Redemption;[];
119031;JpEMc;5;only_alpha_mixed;llama;blue;CS2;False;True;Presale Redemption;[];
117640;75sRdZ;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117595;5ri26E;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118712;HLEym;5;only_alpha_mixed;llama;yellow;CS2;False;True;Presale Redemption;[];
119959;3JTGcW;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118724;53GRQf;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117707;5w9yyC;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118284;3cF7Vm;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
119144;2WVedm;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118318;44vtaZ;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
119152;6KPodH;6;common;llama;green;CS2;False;True;Presale Redemption;[];
117666;5F8KMB;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118196;7SdFjy;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119522;3am8am;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119463;7R9GqU;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118655;2sFUSA;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
118574;3E1JMb;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
117585;2awc1v;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119571;29jppJ;6;common;llama;green;CS2;False;True;Presale Redemption;[];
119861;5J6JZi;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
117808;4wLU1V;6;common;llama;black;CS2;False;True;Presale Redemption;[];
118480;6dBeoq;6;common;llama;black;CS2;False;True;Presale Redemption;[];
117714;Wg8Df;5;common;llama;black;CS2;False;True;Presale Redemption;[];
118530;7U7F85;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
117711;46QsgS;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119024;7U7FGb;6;common;llama;yellow;CS2;False;True;Presale Redemption;[];
118733;6efeAY;6;common;llama;black;CS2;False;True;Presale Redemption;[];
119041;5dN8z4;6;common;llama;blue;CS2;False;True;Presale Redemption;[];
